PRODUCT,FOODGROUP,REFRIGERATED,FROZEN,SHELF,FREEZER,FRIDGE_AFTER_THAW,UNOPENED_PANTRY,OPEN_FRIDGE,OPEN_PANTRY
Juice in cartons fruit drinks punch unopened,BEVERAGES FRUIT,21,240,None,None,None,None,None,None
Juice in cartons fruit drinks punch open,BEVERAGES FRUIT,7,240,None,None,None,None,None,None
Butter,DAIRY PRODUCTS,30,180,None,None,None,None,None,None
Buttermilk,DAIRY PRODUCTS,7,90,None,None,None,None,None,None
Hard Cheese (such as cheddar swiss block parmesan) unopened,DAIRY PRODUCTS,180,180,None,None,None,None,None,None
Hard Cheese (such as cheddar swiss block parmesan) open,DAIRY PRODUCTS,21,180,None,None,None,None,None,None
Soft Cheese (such as Brie Bel Paese),DAIRY PRODUCTS,7,180,None,None,None,None,None,None
Shredded cheddar mozzarella etc.,DAIRY PRODUCTS,30,90,None,None,None,None,None,None
Processed slices,DAIRY PRODUCTS,30,Doesn't freeze well,None,None,None,None,None,None
Cottage cheese ricotta,DAIRY PRODUCTS,7,Doesn't freeze well,None,None,None,None,None,None
Cream cheese,DAIRY PRODUCTS,14,Doesn't freeze well,None,None,None,None,None,None
Cream whipping ultrapasteurized,DAIRY PRODUCTS,30,Do not freeze,None,None,None,None,None,None
Whipped sweetened,DAIRY PRODUCTS,1,30,None,None,None,None,None,None
Aerosol can real whipped cream,DAIRY PRODUCTS,21,Do not freeze,None,None,None,None,None,None
Aerosol can nondairy topping,DAIRY PRODUCTS,90,Do not freeze,None,None,None,None,None,None
Cream half-and-half,DAIRY PRODUCTS,3,120,None,None,None,None,None,None
Dips sour cream based,DAIRY PRODUCTS,14,Do not freeze,None,None,None,None,None,None
Egg substitutes liquid unopened,DAIRY PRODUCTS,10,Do not freeze,None,None,None,None,None,None
Egg substitutes liquid opened,DAIRY PRODUCTS,3,Do not freeze,None,None,None,None,None,None
Eggnog commercial,DAIRY PRODUCTS,3,180,None,None,None,None,None,None
Eggs in shell,DAIRY PRODUCTS,21,Do not freeze,None,None,None,None,None,None
Eggs raw whites yolks,DAIRY PRODUCTS,2,360,None,None,None,None,None,None
Eggs hard cooked,DAIRY PRODUCTS,7,Doesn't freeze well,None,None,None,None,None,None
Kefir (fermented milk) unopened,DAIRY PRODUCTS,7,Do not freeze,None,None,None,None,None,None
Kefir (fermented milk) open,DAIRY PRODUCTS,1,Do not freeze,None,None,None,None,None,None
Margarine,DAIRY PRODUCTS,180,360,None,None,None,None,None,None
Milk plain or flavored,DAIRY PRODUCTS,7,90,None,None,None,None,None,None
Sour cream,DAIRY PRODUCTS,7,Doesn't freeze well,None,None,None,None,None,None
Yogurt,DAIRY PRODUCTS,7,30,None,None,None,None,None,None
Tube cans of biscuits rolls pizza dough etc.,DOUGH,Use by date,Do not freeze,None,None,None,None,None,None
Ready-to-bake pie crust,DOUGH,Use by date,60,None,None,None,None,None,None
Cookie dough,DOUGH,Use by date,60,None,None,None,None,None,None
Fresh pasta,PASTA,1,60,None,None,None,None,None,None
Pesto Salsa unopened,PESTO_SALSA,3,30,None,None,None,None,None,None
Pesto Salsa open,PESTO_SALSA,Use by date,30,None,None,None,None,None,None
Soy or rice beverage refrigerated,SOY PRODUCTS,7,Do not freeze,None,None,None,None,None,None
Tofu,SOY PRODUCTS,7,150,None,None,None,None,None,None
Miso,SOY PRODUCTS,90,Do not freeze,None,None,None,None,None,None
Lean fish (cod flounder haddock halibut sole etc.),FISH,1,180,None,None,None,None,None,None
Lean fish (pollock ocean perch rockfish sea trout),FISH,1,120,None,None,None,None,None,None
Fatty fish (bluefish mackerel mullet salmon tuna etc.),FISH,1,60,None,None,None,None,None,None
Caviar fresh in jar unopened,FISH,2,Doesn't freeze well,None,None,None,None,None,None
Caviar fresh in jar open,FISH,7,Doesn't freeze well,None,None,None,None,None,None
Cooked fish all,FISH,3,30,None,None,None,None,None,None
Surimi seafood,FISH,3,270,None,None,None,None,None,None
Shrimp scallops crayfish squid,SHELLFISH,1,90,None,None,None,None,None,None
Shucked clams mussels and oysters,SHELLFISH,1,90,None,None,None,None,None,None
Crab meat fresh,SHELLFISH,1,120,None,None,None,None,None,None
Crab meat pasteurized unopened,SHELLFISH,180,120,None,None,None,None,None,None
Crab meat pasteurized open,SHELLFISH,3,120,None,None,None,None,None,None
Crab legs king dungeness snow,SHELLFISH,5,270,None,None,None,None,None,None
Live clams mussels crab and oysters,SHELLFISH,1,60,None,None,None,None,None,None
Live lobsters,SHELLFISH,1,60,None,None,None,None,None,None
Lobster tails,FROZEN ITEMS,None,None,None,90,2,None,None,None
Cooked shellfish all,SHELLFISH,3,90,None,None,None,None,None,None
Herring,SMOKED FISH,3,60,None,None,None,None,None,None
Salmon whitefish cold-smoked,SMOKED FISH,5,60,None,None,None,None,None,None
Salmon whitefish hot smoked,SMOKED FISH,14,180,None,None,None,None,None,None
Beef lamb pork or veal chops steaks roasts,MEAT_FRESH,3,120,None,None,None,None,None,None
Ground meat,MEAT_FRESH,1,90,None,None,None,None,None,None
Variety meats (liver tongue chitterlings etc.),MEAT_FRESH,1,90,None,None,None,None,None,None
Cooked meats (after home cooking),MEAT_FRESH,3,60,None,None,None,None,None,None
Bacon,MEAT_SMOKED_PROCESSED,7,30,None,None,None,None,None,None
Corned beef in pouch with pickling juices,MEAT_SMOKED_PROCESSED,5,30,None,None,None,None,None,None
Ham canned ("keep refrigerated" label),MEAT_SMOKED_PROCESSED,180,Do not freeze,None,None,None,None,None,None
Ham fully cooked whole,MEAT_SMOKED_PROCESSED,7,30,None,None,None,None,None,None
Ham fully cooked slices or half,MEAT_SMOKED_PROCESSED,3,30,None,None,None,None,None,None
Ham cook before eating,MEAT_SMOKED_PROCESSED,7,30,None,None,None,None,None,None
Hot dogs sealed in package,MEAT_SMOKED_PROCESSED,14,30,None,None,None,None,None,None
Hot dogs after opening,MEAT_SMOKED_PROCESSED,7,30,None,None,None,None,None,None
Lunch meats sealed in package,POULTRY_COOKED_PROCESSED,14,30,None,None,None,None,None,None
Lunch meats after opening,POULTRY_COOKED_PROCESSED,3,30,None,None,None,None,None,None
Sausage raw bulk type,MEAT_SMOKED_PROCESSED,1,30,None,None,None,None,None,None
Sausage smoked links patties,MEAT_SMOKED_PROCESSED,7,30,None,None,None,None,None,None
Sausage hard dry (pepperoni) sliced,MEAT_SMOKED_PROCESSED,14,30,None,None,None,None,None,None
Chicken or turkey whole,POULTRY_FRESH,1,360,None,None,None,None,None,None
Chicken or turkey parts,POULTRY_FRESH,1,270,None,None,None,None,None,None
Duckling or goose whole,POULTRY_FRESH,1,180,None,None,None,None,None,None
Giblets,POULTRY_FRESH,1,90,None,None,None,None,None,None
Chicken nuggets patties,POULTRY_COOKED_PROCESSED,1,30,None,None,None,None,None,None
Cooked poultry dishes,POULTRY_COOKED_PROCESSED,3,120,None,None,None,None,None,None
Fried chicken,POULTRY_COOKED_PROCESSED,3,120,None,None,None,None,None,None
Ground turkey or chicken,POULTRY_COOKED_PROCESSED,1,90,None,None,None,None,None,None
Pieces covered with broth or gravy,POULTRY_COOKED_PROCESSED,1,180,None,None,None,None,None,None
Rotisserie chicken,POULTRY_COOKED_PROCESSED,3,120,None,None,None,None,None,None
Apples,FRUIT_VEGETABLES,21,None,1,240,None,None,None,None
Apricots,FRUIT_VEGETABLES,2,None,Until ripe,Do not freeze,None,None,None,None
Avocados,FRUIT_VEGETABLES,3,None,Until ripe,Do not freeze,None,None,None,None
Bananas,FRUIT_VEGETABLES,2,None,Until ripe,30,None,None,None,None
Berries cherries,FRUIT_VEGETABLES,1,None,x,120,None,None,None,None
Citrus Fruit,FRUIT_VEGETABLES,7,None,10,Do not freeze,None,None,None,None
Coconuts fresh,FRUIT_VEGETABLES,14,None,7,180,None,None,None,None
Grapes,FRUIT_VEGETABLES,7,None,1,30,None,None,None,None
Kiwi Fruit,FRUIT_VEGETABLES,3,None,Until ripe,Do not freeze,None,None,None,None
Melons,FRUIT_VEGETABLES,3,None,1,30,None,None,None,None
Papaya mango,FRUIT_VEGETABLES,7,None,3,Do not freeze,None,None,None,None
Peaches nectarines,FRUIT_VEGETABLES,3,None,Until ripe,60,None,None,None,None
Pears Plums,FRUIT_VEGETABLES,3,None,3,Do not freeze,None,None,None,None
Artichokes whole,FRUIT_VEGETABLES,7,None,1,Do not freez,None,None,None,None
Asparagus,FRUIT_VEGETABLES,3,None,x,240,None,None,None,None
Beans green or wax,FRUIT_VEGETABLES,3,None,x,240,None,None,None,None
Beets,FRUIT_VEGETABLES,7,None,1,180,None,None,None,None
Bok choy,FRUIT_VEGETABLES,2,None,x,300,None,None,None,None
Broccoli raab rapini,FRUIT_VEGETABLES,3,None,x,300,None,None,None,None
Brussels sprouts,FRUIT_VEGETABLES,3,None,x,300,None,None,None,None
Cauliflower,FRUIT_VEGETABLES,3,None,x,300,None,None,None,None
Cabbage,FRUIT_VEGETABLES,7,None,x,300,None,None,None,None
Carrots parsnips,FRUIT_VEGETABLES,21,None,x,300,None,None,None,None
Celery,FRUIT_VEGETABLES,7,None,x,300,None,None,None,None
Corn on the cob,FRUIT_VEGETABLES,1,None,x,240,None,None,None,None
Cucumbers,FRUIT_VEGETABLES,4,None,x,Do not freeze,None,None,None,None
Eggplant,FRUIT_VEGETABLES,3,None,1,180,None,None,None,None
Garlic,FRUIT_VEGETABLES,7,None,30,30,None,None,None,None
Ginger Root,FRUIT_VEGETABLES,7,None,1,30,None,None,None,None
Greens,FRUIT_VEGETABLES,1,None,x,300,None,None,None,None
Herbs fresh,FRUIT_VEGETABLES,7,None,x,30,None,None,None,None
Leeks,FRUIT_VEGETABLES,7,None,x,300,None,None,None,None
Lettuce iceberg,FRUIT_VEGETABLES,7,None,x,Do not freeze,None,None,None,None
Lettuce leaf,FRUIT_VEGETABLES,3,None,x,Do not freeze,None,None,None,None
Mushrooms,FRUIT_VEGETABLES,2,None,x,300,None,None,None,None
Okra,FRUIT_VEGETABLES,2,None,x,300,None,None,None,None
Onions dry,FRUIT_VEGETABLES,60,None,14,300,None,None,None,None
Onions Spring or green,FRUIT_VEGETABLES,7,None,14,300,None,None,None,None
Parsley cilantro,FRUIT_VEGETABLES,7,None,x,30,None,None,None,None
Peppers bell or chile,FRUIT_VEGETABLES,4,None,x,180,None,None,None,None
Potatoes,FRUIT_VEGETABLES,7,None,30,300,None,None,None,None
Radishes,FRUIT_VEGETABLES,10,None,x,Do not freeze,None,None,None,None
Rutabagas,FRUIT_VEGETABLES,14,None,7,240,None,None,None,None
Spinach,FRUIT_VEGETABLES,1,None,x,300,None,None,None,None
Squash summer,FRUIT_VEGETABLES,4,None,x,300,None,None,None,None
Squash winter,FRUIT_VEGETABLES,14,None,7,300,None,None,None,None
Turnips,FRUIT_VEGETABLES,14,None,x,240,None,None,None,None
